,job_title,job_category,salary,experience_level,employment_type,work_setting,company_size
7485,Data Engineer,Data Engineering,85000,Senior,Full-time,Remote,M
7486,Data Engineer,Data Engineering,178800,Senior,Full-time,Remote,L
7487,Data Engineer,Data Engineering,132100,Senior,Full-time,Remote,L
7488,Data Engineer,Data Engineering,140000,Senior,Full-time,Remote,M
7489,Data Engineer,Data Engineering,105000,Senior,Full-time,Remote,M
7490,Analytics Engineer,Leadership and Management,190000,Senior,Full-time,Remote,M
7491,Analytics Engineer,Leadership and Management,140000,Senior,Full-time,Remote,M
7492,Data Operations Engineer,Data Quality and Operations,100000,Mid-level,Full-time,Remote,M
7493,Data Operations Engineer,Data Quality and Operations,60000,Mid-level,Full-time,Remote,M
7494,Data Scientist,Data Science and Research,180000,Senior,Full-time,Remote,L
7495,Data Scientist,Data Science and Research,165000,Senior,Full-time,Remote,L
7496,Applied Machine Learning Scientist,Machine Learning and AI,108000,Senior,Full-time,In-person,L
7497,Data Architect,Data Architecture and Modeling,190000,Senior,Full-time,Remote,M
7498,Data Architect,Data Architecture and Modeling,135000,Senior,Full-time,Remote,M
7499,Data Scientist,Data Science and Research,179400,Senior,Full-time,In-person,M
7500,Data Scientist,Data Science and Research,154000,Senior,Full-time,In-person,M
7501,Machine Learning Scientist,Machine Learning and AI,193900,Senior,Full-time,In-person,M
7502,Machine Learning Scientist,Machine Learning and AI,129300,Senior,Full-time,In-person,M
7503,Data Science Manager,Data Science and Research,222640,Executive,Full-time,In-person,M
7504,Data Science Manager,Data Science and Research,182160,Executive,Full-time,In-person,M
7505,Data Engineer,Data Engineering,150000,Mid-level,Full-time,In-person,M
7506,Data Engineer,Data Engineering,100000,Mid-level,Full-time,In-person,M
7507,Analytics Engineer,Leadership and Management,122500,Senior,Full-time,Remote,M
7508,Analytics Engineer,Leadership and Management,100000,Senior,Full-time,Remote,M
7509,Data Engineer,Data Engineering,297500,Executive,Full-time,Remote,M
7510,Data Engineer,Data Engineering,260000,Executive,Full-time,Remote,M
7511,Data Scientist,Data Science and Research,93000,Entry-level,Full-time,In-person,M
7512,Data Scientist,Data Science and Research,73000,Entry-level,Full-time,In-person,M
7513,Data Operations Engineer,Data Quality and Operations,100000,Mid-level,Full-time,Remote,M
7514,Data Operations Engineer,Data Quality and Operations,60000,Mid-level,Full-time,Remote,M
7515,Data Scientist,Data Science and Research,136994,Senior,Full-time,Remote,M
7516,Data Scientist,Data Science and Research,101570,Senior,Full-time,Remote,M
7517,ETL Developer,Data Engineering,250000,Senior,Full-time,Remote,M
7518,ETL Developer,Data Engineering,63000,Senior,Full-time,Remote,M
7519,Data Manager,Leadership and Management,134000,Mid-level,Full-time,In-person,M
